District,Season,Rice Category,Rice Area,Rice Production,Rice Yield,Area Unit,Production Unit,Yield Unit,Source Document,Source URL,Page Number,Table Number,Verification Status,Directly Reported or Calculated,Verification Notes
Hafizabad,2021-22,Total Rice,150940,362130,2399,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Hafizabad,2022-23,Total Rice,149000,138430,929,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Jhang,2020-21,Basmati,144870,322300,2225,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Jhang,2020-21,Non-Basmati,5660,15100,2665,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Jhang,2020-21,Total Rice,150530,337400,2241,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Jhang,2021-22,Basmati,154590,366600,2371,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Jhang,2021-22,Non-Basmati,6480,18970,2930,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Jhang,2021-22,Total Rice,161070,385570,2394,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Jhang,2022-23,Total Rice,146500,340170,2322,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Jhelum,2020-21,Basmati,2020,4700,2323,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Jhelum,2020-21,Total Rice,2020,4700,2327,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Jhelum,2021-22,Basmati,400,970,2397,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Jhelum,2021-22,Total Rice,400,970,2425,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Jhelum,2022-23,Total Rice,2430,4830,1988,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Kasur,2020-21,Basmati,34400,63900,1857,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Kasur,2020-21,Non-Basmati,48560,119700,2465,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Kasur,2020-21,Total Rice,82960,183600,2213,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Kasur,2021-22,Basmati,22660,41870,1847,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Kasur,2021-22,Non-Basmati,77290,183590,2375,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Kasur,2021-22,Total Rice,99950,225460,2256,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Kasur,2022-23,Total Rice,79000,190010,2405,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Khanewal,2020-21,Basmati,52610,108100,2055,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Khanewal,2020-21,Total Rice,52610,108100,2055,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Khanewal,2021-22,Basmati,66770,138620,2076,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Khanewal,2021-22,Non-Basmati,12550,49320,3931,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Khanewal,2021-22,Total Rice,79320,187940,2369,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Khanewal,2022-23,Total Rice,45730,112580,2462,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Khushab,2020-21,Basmati,25900,47900,1849,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Khushab,2020-21,Total Rice,25900,47900,1849,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Khushab,2021-22,Basmati,25500,50860,1995,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Khushab,2021-22,Total Rice,25500,50860,1995,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Khushab,2022-23,Total Rice,24680,44410,1799,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Lahore,2020-21,Basmati,21040,47100,2238,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Lahore,2020-21,Non-Basmati,8100,21600,2669,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Lahore,2020-21,Total Rice,29140,68700,2358,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Lahore,2021-22,Basmati,20640,38210,1851,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Lahore,2021-22,Non-Basmati,11740,30000,2556,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Lahore,2021-22,Total Rice,32380,68210,2107,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Lahore,2022-23,Total Rice,24680,52760,2138,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Layyah,2020-21,Basmati,14160,28700,2026,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Layyah,2020-21,Total Rice,14160,28700,2027,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Layyah,2021-22,Basmati,5670,12620,2228,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Layyah,2021-22,Total Rice,5670,12620,2226,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Layyah,2022-23,Total Rice,810,1600,1975,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Lodhran,2020-21,Basmati,23470,54000,2301,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Lodhran,2020-21,Total Rice,23470,54000,2301,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Lodhran,2021-22,Basmati,21850,36690,1679,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Lodhran,2021-22,Non-Basmati,7280,20280,2784,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Lodhran,2021-22,Total Rice,29130,56970,1956,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Lodhran,2022-23,Total Rice,10920,24340,2229,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Mandi Bahauddin,2020-21,Basmati,80940,166100,2052,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Mandi Bahauddin,2020-21,Non-Basmati,16190,39500,2440,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Mandi Bahauddin,2020-21,Total Rice,97130,205600,2117,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Mandi Bahauddin,2021-22,Basmati,69610,140940,2025,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Mandi Bahauddin,2021-22,Non-Basmati,24690,65060,2635,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Mandi Bahauddin,2021-22,Total Rice,94300,206000,2185,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Mandi Bahauddin,2022-23,Total Rice,83770,178690,2133,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Mianwali,2020-21,Basmati,5260,12700,2414,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Mianwali,2020-21,Total Rice,5260,12700,2414,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
