District,Season,Wheat Area (ha),Wheat Production (tonnes),Wheat Yield (kg/ha),Source,Source URL,Verification Status
Gujrat,2021-22,157020,321880,2050,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Gujrat,2022-23,159400,363400,2279,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Hafizabad,2010-11,152970,486750,3182,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Hafizabad,2011-12,153780,475000,3089,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Hafizabad,2012-13,155400,472830,3043,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Hafizabad,2013-14,157820,486920,3085,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Hafizabad,2014-15,163090,498940,3059,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Hafizabad,2015-16,156210,479330,3069,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS final estimate)
Hafizabad,2016-17,163490,554310,3390,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Hafizabad,2017-18,159850,555520,3475,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Hafizabad,2018-19,165510,494920,2990,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Hafizabad,2020-21,145680,524590,3601,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Hafizabad,2021-22,146900,483810,3293,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Hafizabad,2022-23,150900,595500,3945,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Jhang,2010-11,271940,797340,2932,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Jhang,2011-12,261420,740700,2833,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Jhang,2012-13,259800,771530,2970,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Jhang,2013-14,292980,893810,3051,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Jhang,2014-15,303100,931500,3073,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Jhang,2015-16,300670,869670,2892.44021684904,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
Jhang,2016-17,288530,917400,3179,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Jhang,2017-18,276800,872930,3153,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Jhang,2018-19,276390,866750,3136,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Jhang,2020-21,272750,902930,3310,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Jhang,2021-22,255760,810730,3170,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Jhang,2022-23,263400,934300,3547,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Jhelum,2010-11,48970,92640,1892,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Jhelum,2011-12,49780,69100,1388,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Jhelum,2012-13,49370,88840,1799,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Jhelum,2013-14,53820,87840,1632,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Jhelum,2014-15,53820,106840,1985,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Jhelum,2015-16,56660,127370,2247.97034945288,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
Jhelum,2016-17,53820,96210,1787,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Jhelum,2017-18,56250,85700,1524,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Jhelum,2018-19,53420,85100,1593,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Jhelum,2020-21,80930,115860,1431,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Jhelum,2021-22,77290,152220,1970,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Jhelum,2022-23,85400,193900,2270,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Kasur,2010-11,187360,578230,3086,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Kasur,2011-12,184130,570620,3099,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Kasur,2012-13,178870,536330,2998,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Kasur,2013-14,182100,548060,3010,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Kasur,2014-15,167530,514260,3069,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Kasur,2015-16,165510,479490,2897.04549574044,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
Kasur,2016-17,164300,526440,3204,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Kasur,2017-18,162680,514500,3163,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Kasur,2018-19,161870,467300,2887,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Kasur,2020-21,136780,478200,3496,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Kasur,2021-22,129900,406260,3127,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Kasur,2022-23,127500,434300,3407,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Khanewal,2010-11,203150,627460,3089,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Khanewal,2011-12,195460,573960,2937,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Khanewal,2012-13,202740,629420,3105,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Khanewal,2013-14,215290,682530,3170,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Khanewal,2014-15,203560,641900,3153,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Khanewal,2015-16,204360,657340,3216.57858680759,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
Khanewal,2016-17,200320,753540,3762,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Khanewal,2017-18,194650,675730,3472,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Khanewal,2018-19,191410,597780,3123,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Khanewal,2020-21,227430,759150,3338,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Khanewal,2021-22,214880,792890,3690,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Khanewal,2022-23,194300,726900,3742,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Khushab,2010-11,92270,185720,2012,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Khushab,2011-12,85790,144800,1688,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Khushab,2012-13,87410,167450,1916,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Khushab,2013-14,89840,148760,1656,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Khushab,2014-15,92670,171440,1850,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Khushab,2015-16,95910,189010,1970.70169950996,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
Khushab,2016-17,89840,192510,2143,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Khushab,2017-18,93070,191530,2058,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Khushab,2018-19,94700,167450,1768,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Khushab,2020-21,128280,288590,2250,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Khushab,2021-22,139210,287970,2069,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Khushab,2022-23,123000,290800,2363,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Kot Addu,2022-23,93100,269800,2899,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate); NEW DISTRICT (no earlier seasons)
Lahore,2010-11,64750,185850,2870,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Lahore,2011-12,63930,191810,3000,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Lahore,2012-13,57470,177250,3084,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Lahore,2013-14,59490,174000,2925,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Lahore,2014-15,59890,164060,2739,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Lahore,2015-16,57060,170150,2982,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS final estimate)
Lahore,2016-17,57460,181120,3152,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Lahore,2017-18,55040,171670,3119,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Lahore,2018-19,53010,166980,3150,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Lahore,2020-21,42090,135120,3210,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Lahore,2021-22,43710,150120,3435,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Lahore,2022-23,45700,159600,3490,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Layyah,2010-11,196680,554180,2818,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Layyah,2011-12,191420,456020,2382,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Layyah,2012-13,190600,498330,2615,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Layyah,2013-14,216500,586880,2711,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Layyah,2014-15,233500,593500,2542,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Layyah,2015-16,234310,604360,2579.31799752465,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,"Verified: yield calculated from official area & production (printed total yield differs, see notes)"
Layyah,2016-17,231060,702770,3041,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Layyah,2017-18,221360,540350,2441,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Layyah,2018-19,216910,568970,2623,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Layyah,2020-21,274780,777410,2829,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Layyah,2021-22,273160,817830,2994,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Layyah,2022-23,271500,837900,3086,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
Lodhran,2010-11,185750,580430,3125,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Lodhran,2011-12,166320,500400,3009,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
Lodhran,2012-13,192220,609710,3172,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Lodhran,2013-14,208000,681060,3274,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
Lodhran,2014-15,203960,636770,3122,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Lodhran,2015-16,203150,688020,3387,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS final estimate)
Lodhran,2016-17,205170,796680,3883,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Lodhran,2017-18,204360,698160,3416,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
Lodhran,2018-19,195860,663530,3388,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
Lodhran,2020-21,170370,575930,3380,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
Lodhran,2021-22,165510,622830,3763,CRS Punjab - Rabi Crops Estimates 2021-22,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS final estimate)
Lodhran,2022-23,155400,594700,3827,CRS Punjab - Final Rabi Estimates 2022-23,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202022-23.pdf,Verified: directly reported (CRS final estimate)
M.B. Din,2010-11,137590,359050,2609,CRS Punjab - Rabi Crops Estimates 2011-12 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
M.B. Din,2011-12,135970,370570,2725,CRS Punjab - Rabi Crops Estimates 2011-12,https://agripunjab.punjab.gov.pk/system/files/Rabi%20Book%20All%20estimates%202011-12_0.pdf,Verified: directly reported (CRS final estimate)
M.B. Din,2012-13,138400,393020,2840,CRS Punjab - Rabi Crop Estimates Data Book 2013-14 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS prior-year column of the following season report)
M.B. Din,2013-14,142440,370300,2599,CRS Punjab - Rabi Crop Estimates Data Book 2013-14,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202013-14.pdf,Verified: directly reported (CRS final estimate)
M.B. Din,2014-15,144470,352440,2440,CRS Punjab - Rabi Book 2015-16 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS prior-year column of the following season report)
M.B. Din,2015-16,148520,382300,2573,CRS Punjab - Rabi Book 2015-16,https://agripunjab.punjab.gov.pk/system/files/RABI%20BOOK%202015-16_0.pdf,Verified: directly reported (CRS final estimate)
M.B. Din,2016-17,151750,474660,3128,CRS Punjab - Final Rabi Estimates 2017-18 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS prior-year column of the following season report)
M.B. Din,2017-18,149730,422470,2821,CRS Punjab - Final Rabi Estimates 2017-18,https://agripunjab.punjab.gov.pk/system/files/Final%20%20Rabi%20Estimates%202017-18.pdf,Verified: directly reported (CRS final estimate)
M.B. Din,2018-19,149730,389020,2598,CRS Punjab - Final Rabi Estimates 2018-19,https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202018-19.pdf,Verified: directly reported (CRS final estimate)
M.B.Din,2020-21,130310,391420,3004,CRS Punjab - Rabi Crops Estimates 2021-22 (prior-year column),https://agripunjab.punjab.gov.pk/system/files/Final%20Rabi%20Estimates%202021-22.pdf,Verified: directly reported (CRS prior-year column of the following season report)
